Contents,Province,Date,Users,like_counts
福州-菏泽的卧铺 已经刷到福州-北京了[二哈] 票价快翻倍[苦涩] 不买又怕买不到，买了又不能在刷短途车了，而且还不能改签目的地[晕],山东 济宁,Mon Apr 22 16:18:15  2024,一片橘子皮n,0
不整顿吗,浙江 金华,Mon Apr 22 16:18:10  2024,诸葛霞shally,0
它们能让你们这些牛马舒服喽？,其他,Mon Apr 22 16:17:59  2024,刁刁已死,0
每次都是买长乘短，要不然买不到票[二哈],其他,Mon Apr 22 16:17:54  2024,qianq333,0
[doge],其他,Mon Apr 22 16:17:50  2024,花花84260,0
确实遇到过,湖北 武汉,Mon Apr 22 16:17:45  2024,修改昵称好难鸭,0
别说短途了，我南京到兰州也不算短途了吧，没票，多买5站 6站就有票，真的很无法理解必须要多花两百钱才可以买到回家的票嘛[摊手]那我坐火车的意义在哪里,江苏 南京,Mon Apr 22 16:17:41  2024,HE又困了,0
长途也可以靠接续换乘来解决,江苏 南京,Mon Apr 22 16:17:39  2024,竹海风鸣,0
赚钱嘛不寒颤,四川 凉山,Mon Apr 22 16:17:36  2024,畵龑丶墨羽,0
不是，既然工作人员已经认识到买长乘短的问题，为什么还不调整系统呢？官方的建议自己都无法落实，是要乘客怎么办呢？这也太自相矛盾了吧！,其他,Mon Apr 22 16:17:33  2024,Domon-CeCe-Mong,0
这就是为了人民吗？,上海 徐汇区,Mon Apr 22 16:17:33  2024,倒颠被_界世,0
公知们，你们是不是没买过现在的火车票？现在明明是短途一张票都没有放啊,辽宁 沈阳,Mon Apr 22 16:17:32  2024,酱油拌咖啡,1
我要坐接近6个小时的也是开票即候补啊[黑线]根本就没有看到票出来[黑线]无语死了,四川,Mon Apr 22 16:17:28  2024,人类小珩观察录,0
我买北京到常州的高铁，8站5个多小时车程，买不上票，多买3站到终点站上海虹桥就能买上票，一张票多花72元。,北京,Mon Apr 22 16:17:21  2024,四一零七九五,0
就是  我过年的时候也要买全程票才能抢到,江苏 苏州,Mon Apr 22 16:16:44  2024,当爱Y成往事,0
优先长途旅客，尽量确保资源不浪费,江苏 泰州,Mon Apr 22 16:16:41  2024,平淡真心2024,0
我长途抢了两天都没[ok],其他,Mon Apr 22 16:16:34  2024,Xmskghdajk,0
那没办法啊，短程买不到，只能买长的，想回家咋办,山东 烟台,Mon Apr 22 16:16:22  2024,来个大桶多肉西瓜,0
干脆不让网上买票全改线下[doge],其他,Mon Apr 22 16:16:21  2024,就是满天星星,0
中途基本买不到，都要加强买到终点站才有票，吃香太难看,福建 厦门,Mon Apr 22 16:16:10  2024,Fighting-林MC,0
我也是买长乘短的，根本没有票啊,山东,Mon Apr 22 16:15:44  2024,SR苏苏苏,0
还不如直接直售起点到终点 中途都没有售票 没必要吊着别人的胃口 一直候补 一直觉得抢得到,其他,Mon Apr 22 16:15:39  2024,萧程筱lalala,0
长途优先可以理解，短途方式更多。,北京 东城区,Mon Apr 22 16:15:34  2024,可爱的地刺,0
"建议不犹豫下单买全程,否则没票的,连12306都提示了,懂的都懂.",北京 海淀区,Mon Apr 22 16:15:25  2024,moyihua2012,0
我开始紧张了 五一我还能回家么,北京,Mon Apr 22 16:15:23  2024,DOG王的猫生,0
火车都是长途票优先  短途出行坐汽车更快  短途人少车还不用停直接一路狂飙  半小时跑一百多公里外中途不停爽的不要,四川 自贡,Mon Apr 22 16:15:13  2024,白鹭公主的侍卫,0
因为全程的更需要啊  肯定是优先全程啊,重庆 万州区,Mon Apr 22 16:15:10  2024,忙完去码头整点薯条,0
这种政策都有人质疑，我真的是无法理解,北京,Mon Apr 22 16:15:02  2024,祺zzZzzz,0
原来如此,其他,Mon Apr 22 16:14:52  2024,那可还行呢,0
整顿吧，回家都回不去，票都卖给他家黄牛亲戚了吗？,北京,Mon Apr 22 16:14:51  2024,pu京头号小迷妹,0
短途活该多花钱才能买到票呗,辽宁 大连,Mon Apr 22 16:14:38  2024,定值,0
最大的黄牛🐮,广东,Mon Apr 22 16:14:37  2024,美辰良景200908,0
赶紧查查这群人，每次出来票秒没,上海 闵行区,Mon Apr 22 16:14:34  2024,zzl68,0
昨天还买了一张站了6个半小时的车程，我不能理解，差点站晕过去[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐],其他,Mon Apr 22 16:14:29  2024,下雨的被子,0
我干过买长乘短的事，不这样的话，买不到票啊[允悲],其他,Mon Apr 22 16:14:20  2024,兜兜君99,0
采用预约购票制度就解决了呀，禁止买短乘长，也禁止买长乘短。按各自需求如实预约购票，由系统合理分配保证座无虚席，按车次分批次录取。,浙江 杭州,Mon Apr 22 16:14:17  2024,愚蠢的愚蠢的火星人,1
算法有问题，或者是故意的,其他,Mon Apr 22 16:14:12  2024,院长应该都没有想到我逃了出来喵,0
原来不止我一个人碰到这个问题 我本来买的票也不是很短 22个小时 改成从始发站买就有票了[微笑][微笑][微笑] 难道我22个小时的车也是短途吗,海外,Mon Apr 22 16:14:09  2024,红豆馅鲷鱼烧,0
@木木茶宇 你之前北京回广州就是这样吧,浙江 杭州,Mon Apr 22 16:14:08  2024,鹿鹿鱼鱼_C,0
不会候补吗？,广东 潮州,Mon Apr 22 16:13:50  2024,臭臭猪的日记本,0
全程票也是秒没，卡点抢不到，候补到现在没成功[允悲],其他,Mon Apr 22 16:13:49  2024,丨orso丶,0
短途的，中途的，不配买票出行[doge],广西 梧州,Mon Apr 22 16:13:49  2024,你的名字忘了备注,0
优先长途有什么不对吗[挖鼻],河南,Mon Apr 22 16:13:47  2024,炎龙Lee,0
就跟调休一样，不在乎民众的“被迫”,江苏,Mon Apr 22 16:13:45  2024,糖葫芦是羊肉串的唯爱粉,0
过年了 从廊坊大厂想坐动车去天津北辰，显示没票，而买从北京起始站到天津的票，富裕的流油，只能多花20多。,海外 美国,Mon Apr 22 16:13:44  2024,既明且哲Lei,0
节假日短途不放票，买长途就能买得到，真垃圾,山东,Mon Apr 22 16:13:43  2024,不要打架了,0
短途的只能买短乘长,北京,Mon Apr 22 16:13:38  2024,DOG王的猫生,0
不一直这个尿性,重庆,Mon Apr 22 16:13:38  2024,路飞的神秘宝藏,0
因为全程才有票，为了回学校都是从北京西买到南宁，可是我从石家庄上从南宁东下,河北 沧州,Mon Apr 22 16:13:26  2024,从心从心8888,0
就是多赚钱呗[摊手],其他,Mon Apr 22 16:13:16  2024,菜菜love小可爱,0
转发微博,上海 浦东新区,Mon Apr 22 16:13:14  2024,kgfff55,0
买长乘短一方面加大消费者购票成本，另一方面造成资源浪费。fw12306能不能早点优化系统？妈的劳资就坐一站还买你全程,北京 西城区,Mon Apr 22 16:13:13  2024,sq骑着小蜗吹泡泡,0
每次一到节假日都要说这个问题。根本的还是运力不足的问题，这种情况下当然优先长途。即使铁路完全放开短途票，也能全部售出，不会对售票收入有任何影响。不管放不放开短途票，铁路都会挨骂，实惨。,江苏,Mon Apr 22 16:13:00  2024,凡人南方,0
恶心死了，遇到过，非要多买一站[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐],其他,Mon Apr 22 16:13:00  2024,下雨的被子,0
笑死，别人大堂晚上要办宴席，下午不翻桌留给喝茶休息的客人，你个散客跑过去质疑人家为什么不优先把大堂留给散客[费解],四川 成都,Mon Apr 22 16:12:52  2024,Anim泡菜君,0
什么算法不算法的[二哈],其他,Mon Apr 22 16:12:38  2024,扑灵扑灵扑灵扑灵,0
有一次候补高铁结果忘了取消候补，买了另一班动卧，当天到站了给我发个消息候补成功[笑cry],河南,Mon Apr 22 16:12:33  2024,此生必驾川藏G318,0
有没有人说说怎么改？貌似无解啊。照顾短途就肯定让长途票少了。,广东 深圳,Mon Apr 22 16:12:14  2024,曼宝曼爸,0
12306也买水军？,其他,Mon Apr 22 16:12:07  2024,自在如风的少年年年年,0
没有啥问天,其他,Mon Apr 22 16:12:04  2024,清SINCE,0
每次回家都是多买才有票[摊手],江西,Mon Apr 22 16:11:49  2024,爱学习的肖肖学姐,0
本来就是理论上可行的,湖北,Mon Apr 22 16:11:48  2024,引力的动态理论丷,0
如果距离近了，100公里左右，可以选择拼车！就是比火车贵点！,其他,Mon Apr 22 16:11:43  2024,梅花一朵朵0828,0
这企业也套路人？到底是怎么了？真缺钱了吗？,河南 平顶山,Mon Apr 22 16:11:41  2024,浅笑囍囍,0
@甜橙西柚茶_叠放开李泽言版 我已经好几次买到上海但是从苏州下车了，只能多买不然没票[酸],江苏,Mon Apr 22 16:11:32  2024,connie酱呀是你的心心,0
确实是难，每次都要买长途才有票,其他,Mon Apr 22 16:11:22  2024,一切奔向美好时光,0
吃相太难看了，是时候改改了,广东 深圳,Mon Apr 22 16:11:19  2024,雷神还没想好,0
可以在买票的时候勾选是否是买长乘短，如果勾选是，就自动分配给此乘客不坐区间的车票给需要的人，同时给予买长乘短的人一定的优惠。,其他,Mon Apr 22 16:11:18  2024,Are和,0
我也是买过，太气人了,其他,Mon Apr 22 16:11:04  2024,威尔曼的春天,0
这玩意也能管的住？人家买长的坐短的还能不要他下车非要坐玩？不然他出闸门？或者你怎么在人家下车前知道他买长乘短,湖北 黄石,Mon Apr 22 16:10:57  2024,随心随意没烦恼,0
早就有这个问题,北京,Mon Apr 22 16:10:57  2024,蒋伟健_Frank,0
谁家钱大风刮来的吗？我就想坐多长买多长，你就想多赚钱呗，恶心，我这种70%路程的乘客也抢不到，长不长短不短的路程又算什么呢？节假日就不能再多加些车吗？,湖北,Mon Apr 22 16:10:40  2024,椿雾枝,0
如果这样的话，以后发展成只卖全程票得了,北京 海淀区,Mon Apr 22 16:10:32  2024,鶴伊梵,0
票真的莫名其妙，之前买火车卧铺，一直显示没票，一直候补，要走的前一两天候补上了，当天上车厢，发现我那一整节车厢就几个人，挨着的车厢人也不多，可软件上一直显示没票。。 。,其他,Mon Apr 22 16:10:27  2024,星星叻1980,0
买全程才有票，中途下车永远刷不到。300多块的路程花了500多，然后换乘票买不到说我路程冲突。换乘补票站着回去[微笑][微笑][微笑],四川 成都,Mon Apr 22 16:10:21  2024,报告我有话要说i,0
五一的票一秒卖空，怎么可能？然后逼着大家用各种抢票软件多花钱，年年反映就是不管。,其他,Mon Apr 22 16:10:18  2024,快乐的晨阳,0
肯定优先长途啊，理解[打call],其他,Mon Apr 22 16:09:58  2024,苌楚kw,0
是啊  终于有人发声了 买短途的没票 长途一大把票 好不容易大家工作放假了想回家看看 还要多买几站票才有票,广西,Mon Apr 22 16:09:58  2024,海瑞L,0
之前从长春到南京 右边位置显示有人但是没人坐 然后她在铁岭上来了 [顶],其他,Mon Apr 22 16:09:58  2024,送我奶卡,0
高铁公司也是企业,广东,Mon Apr 22 16:09:52  2024,北师大1987-90硕士,1
开售即售罄 要候补 还不一定能补到票 真是醉了,黑龙江 哈尔滨,Mon Apr 22 16:09:47  2024,一枚爱唱歌的,0
分享图片 http://t.cn/A6TEGeJH,上海 徐汇区,Mon Apr 22 16:09:43  2024,筱梦思蝶,0
顶起来！？,河北,Mon Apr 22 16:09:33  2024,寂寞才言爱,0
12306设计个分享区间，已经买了全程的可以在12306上将不需要的区间分享给正好需要的乘客去购买。,浙江,Mon Apr 22 16:09:31  2024,1977A_303,1
除了老弱病残孕军人等，其他的“优先”就是不平等，自顾自发明一个“xx优先”，简直就是笑话,海外 英国,Mon Apr 22 16:09:25  2024,曰自信婊,0
都给你们短途买了。人家长途的怎么办？,其他,Mon Apr 22 16:09:25  2024,我是一个绅湿,0
我之前乘坐的一列火车就是只有从起点站到终点站的票，临发车前两三个小时我看了一下，还是起点站到终点站的票很充足，提前两三个车站的票还没有，我就想知道12306所谓的优先长途旅客是优先到什么时候？车上许多旅客也和我一样被迫买长乘短，乘务员明知道我们买的到终点站还一个个来问我们都到哪下[怒],江西 萍乡,Mon Apr 22 16:09:23  2024,L文刀先生,0
我就100多的票，你要我买全程的票，花个10倍？[允悲][允悲][允悲]，候补快一周了，还有机会吗？,上海 徐汇区,Mon Apr 22 16:09:18  2024,蛮不江李,0
可以优先长途，但你不能优先到最后一天啊！我短途是犯了什么罪吗？开售就候补等到最后一天还候补不到？,江苏 苏州,Mon Apr 22 16:09:16  2024,_君沐兮,0
买票，郑州到哈尔滨，卧铺换了2个地方～车没下，郑州到秦皇岛一个车厢，秦皇岛到哈尔滨，去了加车厢～没有通票～[怒骂],黑龙江 哈尔滨,Mon Apr 22 16:09:14  2024,喵L喵嗷,0
按出站数据分析就能知道短途的客流量，就能知道是否有故意纵容买长乘短了，现在的时代太看重利益了，难免大家会觉得高铁以这种方式盈利！,广东 深圳,Mon Apr 22 16:09:05  2024,陆jenny,0
全程差一站就没有，qtm的优先长途,北京 海淀区,Mon Apr 22 16:09:00  2024,麐儿,0
被迫买了好几次全程票[允悲],广东,Mon Apr 22 16:08:55  2024,最怕傻傻分不清,0
12306越来越恶心了，让你加钱多买，让你，让你买加速包，让你买专人抢票，恶心至极，有没有人管管啊,广东 深圳,Mon Apr 22 16:08:52  2024,陈甦甦_,0
优先长途没问题吧 可以明确下应该会更好 直接标注长途比短途早一天可购票 过了那一天各抢各的,其他,Mon Apr 22 16:08:37  2024,有些真实问题说了会被封,0
不是，我买的长途也没票啊？起点到终点也没票,北京,Mon Apr 22 16:08:33  2024,宇光十色71,0
评论里说短途给长途让步的，有没有一种可能短途也没那么短…也是跨了好几个省，只要不是起点-终点就都算是短途吗[悲伤][悲伤],海外 法国,Mon Apr 22 16:08:20  2024,缇墨船长,0
没什么做不到的了不是进出站的不给刷，只能人工就好了。不会没有办法，只是想不想做,北京,Mon Apr 22 16:08:07  2024,crab小丸子,1
人家也是投资了也要回本啊，这有什么值得说的,上海 徐汇区,Mon Apr 22 16:08:02  2024,Avocado-k,0
早就想说这个问题了，假期前几天没有提前放票，显示无票，让多买一站，多买一站还有抢票的钱，然后花了双倍的钱买了站票，到了节假日当天，正常的票多的是，不止一次这种事情，买票不被通知多付钱就更不用说了，智行火车！,湖北 武汉,Mon Apr 22 16:07:51  2024,我是大梨子呀,0
我爸爸几年回家买票都在说这个问题现在上热搜了,四川 广安,Mon Apr 22 16:07:44  2024,过多奢求算什么,0
长途人少，短途明显人多，,上海,Mon Apr 22 16:07:43  2024,约定饿,0
市场经济不就这样吗[二哈]还有人想私有化呢,其他,Mon Apr 22 16:07:42  2024,PSG_Catalyst,0
是这样的[微笑]每次从杭州去苏州都要多买一站路，之前在山东也是恶心死了,其他,Mon Apr 22 16:07:39  2024,蝶汐_DXD,0
黑心网站。。。赶紧倒闭！！！,江苏 南京,Mon Apr 22 16:07:34  2024,yisuo_yanyu1,0
就是故意的，想多收入，可是民生行业是让你搜刮油水的地方吗[苦涩],其他,Mon Apr 22 16:07:14  2024,宇宙大元帅m,0
每次到节假日就得买长多花一百多块钱，你开售前两天先长途我理解 ，长途能考虑飞机，还能多几个转车方案，短途没有呀，3小时高铁就是唯一选择，我也想做飞机呀,安徽,Mon Apr 22 16:07:11  2024,乌龙茶抹茶奶盖,1
其实买长途也可以，但是能不能让我买了长途，但是中途下车的，把我后面没乘坐的钱退我啊[允悲],四川 成都,Mon Apr 22 16:07:02  2024,阳阳不想工作,0
开售即售罄[单身狗],北京,Mon Apr 22 16:06:59  2024,小王跌倒在床上,0
应该优化算法，而不是限定区域限定票数，这样公平一点。,上海 浦东新区,Mon Apr 22 16:06:59  2024,sweet-865,0
买短乘长可以补票，买长乘短为什么就不能退？,北京,Mon Apr 22 16:06:57  2024,flurried慌慌张张,0
我六个站的火车，需要多买九个站才有票[允悲]太离谱了,云南,Mon Apr 22 16:06:47  2024,远风-lmjy,0
长途也买不到怎么回事[微笑],其他,Mon Apr 22 16:06:46  2024,白月光邮递员,0
短途的就不适合回家,其他,Mon Apr 22 16:06:35  2024,嘻哈没有嘻,0
有短途肯定买短的啊，省钱，买不到短的才会去抢长的,广东 广州,Mon Apr 22 16:06:31  2024,妈今晚吃啥,0
买长长短也浪费运力呀，真正要做短途的人买不到票,其他,Mon Apr 22 16:06:27  2024,第一口桃酥,0
这有啥满足不了，只要这个站不是终点站就不让你出站就满足了，想出站再交钱，还一举两得[doge],江西 南昌,Mon Apr 22 16:06:22  2024,emm我要变锦鲤,0
长途优先理解，，，华中地区的车都是过站，，，怎么办,其他,Mon Apr 22 16:06:21  2024,大肚罐guan,0
[二哈]直接系统匹配中途换座不就好了…不会空载 人也都能上车 问题就解决了 携程都能匹配 但是12306不行…不理解老是逼大家买长途,海外,Mon Apr 22 16:06:21  2024,假恺,0
垄断才能榨取最大的剩余价值，民生无小事,其他,Mon Apr 22 16:06:10  2024,风之子-2006,0
我这么说，如果大部分人都需要买长乘短，就证明现在这个动态分配不合理。系统又不知道我是为了回家多花钱多买几站的[笑cry]，所以动态调整会很慢甚至不调整。系统不会着急，可广大人民群众提前买不到票很着急啊。12306你想想是不是这么个事，别一味只看系统只靠系统啊,北京,Mon Apr 22 16:06:04  2024,夜班店员se,0
长途优先，总不能买短乘长吧,其他,Mon Apr 22 16:05:49  2024,梦想8250,0
肯定是故意的。大数据 乘客在哪上车 在哪个站下车，大数据一晒就知道了。搞这种,广东,Mon Apr 22 16:05:47  2024,小园Yuan子,0
一定长途啊，站三四个点和十几个点能一样吗,黑龙江,Mon Apr 22 16:05:29  2024,财神爷最爱的女儿7,0
是这样，从很早就说优先满足长站票，但是谁设置的这个程序真的很离谱，少一站全没票，全程就全绿[微笑] 我每年春节从南到北的票都要多花很多钱。官方也是各种建议没回复，所有质疑说没有，然后呢？啥也没变，更新一下出个提前填信息方便抢票，自己吹的很开心，实际大家还是同一起跑线不是吗？,河南 开封,Mon Apr 22 16:05:20  2024,清新不脱俗丶,0
好多[允悲]我一等座让我去二等座[允悲],河南,Mon Apr 22 16:05:18  2024,单纯的爱着,0
我能怎么办，不多买就没票… [龙卷风],河北 石家庄,Mon Apr 22 16:04:53  2024,再吃一顆葡萄有多甜美,0
每次都是被逼着多买一站，上车问旁坐的人，前一站是不是有人坐这个位置，得到的答复是：这个位置一直空着，空着好几站了，到刚刚那一站你上来才有人坐[doge],其他,Mon Apr 22 16:04:52  2024,一时一茶0909,0
长途优先你就只卖长途，加开短途车给短途旅客坐,广东,Mon Apr 22 16:04:44  2024,啤哦哪_喏嘟嘟嘟嘟嘟,0
还有一等或者商务有[允悲]  好多次都是这样，要我买长,湖南,Mon Apr 22 16:04:41  2024,包租公的婆,0
必须加好几站地才能买到想去的地方，你从A到B根本不可能，必须买A到C。,北京,Mon Apr 22 16:04:35  2024,京都狐小仙,0
多买点促进促进gdp怎么了，不知道这些年很难吗,其他,Mon Apr 22 16:04:26  2024,_undertow,0
但凡票够谁tm多花钱买长乘短？,其他,Mon Apr 22 16:04:24  2024,燕寒之地,0
我直接多买一站，因为前一站根本抢不到,其他,Mon Apr 22 16:04:18  2024,乱拳打死老诗傅,1
候补上限都满了@上海铁路12306,辽宁 沈阳,Mon Apr 22 16:04:09  2024,易根奇葩,0
去年十月一我北京到滦县！他硬生生给我整了个到白城！不买回不去家，买了就得多花一百多，为了回家只能买！,海外,Mon Apr 22 16:04:05  2024,_不知疲倦的路人,0
@无核橘酸,其他,Mon Apr 22 16:03:35  2024,游弋在银河,0
为什么是质疑   他就是事实,其他,Mon Apr 22 16:03:35  2024,老油条老豆腐,0
坐不起可以不回家，爱坐不坐，没人惯着你们[打call],安徽 宣城,Mon Apr 22 16:03:32  2024,给我多加点奶盖,0
优先长途这不很人性化么，只有大家都不买才能拆分短途卖啊[允悲],四川 攀枝花,Mon Apr 22 16:03:29  2024,郑雅文儿,0
我来上学 贵州到福建的没有  然后四川到成都的就有，多付了两百块[微笑][微笑][微笑][微笑]  学生票也用不了，贱贱的。,贵州 遵义,Mon Apr 22 16:03:13  2024,岑风zz,0
候补到最后一天也候补不到，经历过一次，最后买了中转4次的票[doge],山东,Mon Apr 22 16:02:40  2024,耿直阿庆,0
节假日重来没有抢到过票。[允悲],浙江 金华,Mon Apr 22 16:02:21  2024,漂泊者199604,0
能够理解，优先考虑长途，但是短途只放1张票，是什么意思呢？长途多放票可以，短途和长途差距也太大了吧！！！！！！！,四川 成都,Mon Apr 22 16:02:17  2024,时xyyzzzz,1
一次票都没买到，到点刷开就是候补，我就不信一张票我都看不到，还真就一张想影子都见不到[允悲],浙江 宁波,Mon Apr 22 16:02:15  2024,一只困困的墩墩儿AaQiu,0
黄牛罢了,其他,Mon Apr 22 16:02:06  2024,自拍的拍5,0
有一次在高铁上听到乘务员喊话补票，我就问她们：延长要补票，那么缩短会退票吗？他们的回答是不会退票退钱的。,江苏,Mon Apr 22 16:01:55  2024,微风6050850434,0
中国人还是太多了,辽宁 沈阳,Mon Apr 22 16:01:42  2024,易根奇葩,0
不同车站放票的时间都不一样，所以放票晚的地方压根不可能有机会抢到票，这是逼大家直接买全程票，铁路局的用心很明显[doge],上海,Mon Apr 22 16:01:20  2024,我叫魚小蛋,0
一到节假日火车票加价买 有时候也会买不到 机票节假日还死贵,黑龙江 哈尔滨,Mon Apr 22 16:01:14  2024,如果当时1007,0
这玩意好像暂时无解！离终点一两站的地方下车在高峰时段基本买不到票！只有采取买长乘短候补[允悲],广东,Mon Apr 22 16:01:13  2024,Llin小鱼,0
你优先卖全程的时候根本没有考虑我们区间票，昨天开票，今天全程票就显示没有了，我们区间票开票就是候补，怎么买？[疑问]要不然你干脆把高铁都改成直达，别中途停了，更节省运力。平衡一下不行吗？,辽宁,Mon Apr 22 16:01:05  2024,全糖布丁奶盖茶,0
说白了就是赤裸裸跟你耍无赖[doge],浙江 宁波,Mon Apr 22 16:01:03  2024,大大小小老老少少,0
永远这么恶心，妈的[微笑],上海,Mon Apr 22 16:00:56  2024,不定时Lynne,0
我已经这样买了两年了，买起始站到终点站，中途下[求饶],重庆,Mon Apr 22 16:00:54  2024,丁几木,0
终于有人注意到了吗[汗],其他,Mon Apr 22 16:00:50  2024,咯哦了具体,0
回复@-做自己最独特-:你是不是没搞懂短途的票是从哪里产生的？你不觉得你理解的有问题吗？,广东 珠海,Mon Apr 22 16:00:45  2024,秋色籁籁,0
就是这样的[哇]买五一到苏州的票是没有的 但是选择多买一站到上海票是充足的[泪],其他,Mon Apr 22 16:00:42  2024,暴躁魏某,0
有点可恶,上海 浦东新区,Mon Apr 22 16:00:32  2024,九粒阳光,0
这不叫纵容，这叫逼迫，只放长途票，中间的一点买不到，有什么办法,湖北,Mon Apr 22 16:00:31  2024,酸奶米布丁,0
从北京到张家界的，候补好几天了，只放两头的票，查了一下还有四百多张，买长只能买到始发站，比我票价还贵,其他,Mon Apr 22 16:00:24  2024,换个马甲就找不到我了,0
那一张不放也不至于吧……怎么说也得放个30%呢,广东 茂名,Mon Apr 22 16:00:19  2024,好事即将发生,0
不需要质疑，这是铁定的事实[微笑],上海,Mon Apr 22 16:00:11  2024,茶蘼-ZW,1
你为什么用“纵容”这个词？你新闻学怎么学的？？？？？,其他,Mon Apr 22 16:00:06  2024,用户7868317624不想改就算了,0
新型垄断，你怎么叫都没用。爱坐不坐。[doge][doge],河南 信阳,Mon Apr 22 16:00:00  2024,ChaleLi,0
我西安到兰州一张票都没有 但西安到西宁却有票 没办法我买了西安到西宁的票然后兰州下车[泪][泪][泪][泪][泪],其他,Mon Apr 22 16:00:00  2024,宥元秒了,0
回复@五州商旅:你可能没买过，温岭到上海 有票， 台州到上海没票， 而且温岭到上海还经过台州，我只能买温岭到上海的，然后从台州站上车。,其他,Mon Apr 22 15:59:47  2024,你说的都对857,0
被迫？平台都主动推荐的,北京,Mon Apr 22 15:59:44  2024,中秋一只小兔,0
短途有那么多交通方式，就别跟长途抢了[泪],广东 珠海,Mon Apr 22 15:59:35  2024,秋色籁籁,0
高铁买票太恶心了，下午5点五一的票秒没，必须多买5站才能有票。,广东 深圳,Mon Apr 22 15:59:35  2024,米兰--7号,0
就是会让人家多买几站，不然就没有票，五一抢票有全程的票，没有半程的票，为什么有剩余的车厢剩余的票，非得要让人多买呢？,内蒙古,Mon Apr 22 15:59:26  2024,阿鹤_AHE,0
深井,其他,Mon Apr 22 15:59:19  2024,在冬天,1
吃相难看[doge],天津,Mon Apr 22 15:59:16  2024,你听那秋末的落叶A,1
永远无法满足所有人。 如果满足了你短途（比如说中间某一段），那我需要长途（也包括中间的某一段）的这张票，岂不是被从中间截断了，那就没法满足我的长途需求了。 夸张一点，如果这趟车的所有票都被买成了中间段的票，那那些需要全程的人，就没有票了,河南 洛阳,Mon Apr 22 15:59:11  2024,秋染红尘殇,0
这有啥质疑的，人家自己早都承认了，我等p民又能怎么办嘛[允悲],河北,Mon Apr 22 15:59:10  2024,马铃薯炖土豆cc,0
肯定是优先全程票的，并不是长短的问题，这个很难理解吗？后面根据全程票购买情况慢慢放中间断，这个很难理解么,浙江 杭州,Mon Apr 22 15:59:06  2024,feifeine,0
我就是买长乘短，没有办法我的进去就是售罄，我可是提前就准备好的，也没抢到,浙江 宁波,Mon Apr 22 15:58:59  2024,青心情情,0
臭不要脸,浙江 台州,Mon Apr 22 15:58:53  2024,渡渡鸟的小心思,0
说理解的都是不需要买票的或者已经买到票的[doge],安徽,Mon Apr 22 15:58:52  2024,瓶子呢2019,0
长途也很难买，建议铁路在客运高峰期增加车次，淡季可以减少车次，即可以保证铁路员工的休息也不影响正常利润和运营[作揖],黑龙江,Mon Apr 22 15:58:52  2024,每天都要开心呦呦呦呦,0
北京到张家口，我也是想买到中间的站点，奈何根本买不上，每次都是买全程,海外,Mon Apr 22 15:58:50  2024,阿朝a_,0
现在的算力不能支撑买到所需区间的票？,其他,Mon Apr 22 15:58:29  2024,丛林飞行者,0
反正我从来不买长乘短，花那冤枉钱干嘛。就候补着，我就不信最后没那么多人买长途，它不放出来给短途？[doge],重庆 渝北区,Mon Apr 22 15:58:26  2024,甜蜜宝贝小虎子,0
我从济南到南京，怎么都抢不到票，最后被迫买了一等座，结果…… 路途全程车里没什么人…… 二等座也基本空荡荡…… 我真的无法理解[doge],山东,Mon Apr 22 15:58:27  2024,Parkhyunsil,0
优先全程感觉还是挺合理的,其他,Mon Apr 22 15:58:22  2024,牛顿吃牛,0
旅客被迫多付出,浙江 舟山,Mon Apr 22 15:58:19  2024,zs_阿森,0
一二十年前，我们县的火车站卖的票就是从前一站到目的地的，就没见过本站的票[拜拜],北京 海淀区,Mon Apr 22 15:58:15  2024,百转千回绕指缠,0
“爆料”,四川,Mon Apr 22 15:58:09  2024,心能安处是,0
交通方式是多样的,四川 成都,Mon Apr 22 15:58:02  2024,_JJJX,0
就是想赚钱，,其他,Mon Apr 22 15:58:00  2024,赫赫0430,0
呵呵，五一往返都多买了几站，多买还得候补才有呢,江苏 常州,Mon Apr 22 15:57:52  2024,wwwwww尾,0
我买了坐票，不过需要从这个车厢换到另一个，到换车厢的时候乘务员跟我说过不去，让我站了剩下的一个小时[裂开][裂开]那我抢坐票干啥,四川 成都,Mon Apr 22 15:57:47  2024,山水一程小美妞,0
归根到底还是大家凑一起了,湖南,Mon Apr 22 15:57:41  2024,小莹是个画家,0
有没有投诉的办法,其他,Mon Apr 22 15:57:32  2024,薄荷猫是你吗,0
既然短途多为啥不增加点短途车，长途车就是长途车短途车就是短途,香港,Mon Apr 22 15:57:31  2024,Lj人离我远点,0
我就是，每次去浙江看我老公，都是买长乘短 多花钱，没办法,山西 阳泉,Mon Apr 22 15:57:30  2024,real蓝星妖包,0
你们可以不坐，真的,湖北 武汉,Mon Apr 22 15:57:27  2024,IzayoiCx,1
我就是买长乘短[允悲][允悲],河南 南阳,Mon Apr 22 15:57:12  2024,KING23Z,0
最该解决的是黄牛票问题,广东,Mon Apr 22 15:57:07  2024,笑傲疆场1991,0
既然叫抢票难道不是先到先得吗？那些长途的人自己不按时抢，票还专门给他们留着？可笑,其他,Mon Apr 22 15:57:02  2024,法兰西多士士士,0
